,,,uid,,,,park,
user,user,0,181,181,und,0,Value Trailer Court,NULL
user,user,0,182,182,und,0,Flamingo Mobile Manor,NULL
user,user,0,185,185,und,0,Chateaubri MHP,NULL
user,user,0,186,186,und,0,Rollin Wheels Mobile Estates,NULL
user,user,0,187,187,und,0,Dundee Hills Estates,NULL
user,user,0,189,189,und,0,Twin Firs MHP,NULL
user,user,0,191,191,und,0,Southgate Mobile Home/RV Park,NULL
user,user,0,192,192,und,0,"Prairie Winds of Junction City, LLC",NULL
user,user,0,196,196,und,0,Frontier Court,NULL
user,user,0,197,197,und,0,Oak Leaf Estates,NULL
user,user,0,200,200,und,0,Peachwood Village,NULL
user,user,0,204,204,und,0,Greenwood Mobile Home Park,NULL
user,user,0,205,205,und,0,Country Meadows MHC,NULL
user,user,0,206,206,und,0,Emily Park,NULL
user,user,0,207,207,und,0,Zeida`s Mobile Home Court,NULL
user,user,0,208,208,und,0,Pioneer MHP,NULL
user,user,0,209,209,und,0,Sunnyview MHP,NULL
user,user,0,210,210,und,0,Alder Terrace MHP,NULL
user,user,0,211,211,und,0,Glenwood Village MHP,NULL
user,user,0,212,212,und,0,Gresham MHP,NULL
user,user,0,213,213,und,0,Riviera Mobile Park,NULL
user,user,0,217,217,und,0,Kings Court Mobile City,NULL
user,user,0,218,218,und,0,Lake Creek Ranch MHC,NULL
user,user,0,219,219,und,0,Daneland Mobile Home Park,NULL
user,user,0,220,220,und,0,Meadow Creek Village,NULL
user,user,0,221,221,und,0,Bear Creek Mobile Home Park LLC,NULL
user,user,0,226,226,und,0,Mobile Estates,NULL
user,user,0,227,227,und,0,Pioneer Park Mobile Estates,NULL
user,user,0,231,231,und,0,Gold Beach Mobile Home Park,NULL
user,user,0,232,232,und,0,Attorney,NULL
user,user,0,233,233,und,0,Oak Acres MHP,NULL
user,user,0,235,235,und,0,Five Acres Mobile Home Park,NULL
user,user,0,236,236,und,0,"The Meadow on Pitney Pond, LLC",NULL
user,user,0,237,237,und,0,Belle Aire Villa LLC,NULL
user,user,0,238,238,und,0,four seasons mobile home park,NULL
user,user,0,239,239,und,0,Valley Center Mobile Home Park LLC,NULL
user,user,0,245,245,und,0,Maple Lane Estates,NULL
user,user,0,247,247,und,0,Fir Grove Mobile Court,NULL
user,user,0,249,249,und,0,Somerset Heights,NULL
user,user,0,253,253,und,0,Salmon River Mobile Village,NULL
user,user,0,255,255,und,0,"Juniper Hilltop MHC, LLC.",NULL
user,user,0,256,256,und,0,rosehaven mobile park,NULL
user,user,0,257,257,und,0,Whisper Creek,NULL
user,user,0,258,258,und,0,Haven Manor,NULL
user,user,0,259,259,und,0,Midway Mobile Home Park,NULL
user,user,0,260,260,und,0,Shalimar Estates,NULL
user,user,0,261,261,und,0,"Heather Manor, LLC",NULL
user,user,0,264,264,und,0,Oakwood Mobile Manor,NULL
user,user,0,269,269,und,0,Hilltop Mobile Home Park LLC,NULL
user,user,0,271,271,und,0,Cumberland ,NULL
user,user,0,272,272,und,0,Sunny  Slope  Mobile  Ranch,NULL
user,user,0,273,273,und,0,Town and Country Mobile Estates,NULL
user,user,0,279,279,und,0,Palmquist Estates,NULL
user,user,0,280,280,und,0,Palmquist Terrace,NULL
user,user,0,281,281,und,0,Aspens on the Creek,NULL
user,user,0,282,282,und,0,Woodland Mobile Home Park,NULL
user,user,0,285,285,und,0,Highland View Mobile Estates,NULL
user,user,0,286,286,und,0,Springwood of Beaverton,NULL
user,user,0,287,287,und,0,Gilley Mobilehome Square,NULL
user,user,0,288,288,und,0,North Star MHC,NULL
user,user,0,290,290,und,0,"North Plains Holdings, LLC",NULL
user,user,0,291,291,und,0,Storz Management Company,NULL
user,user,0,294,294,und,0,Treasure Valley Mobile Village,NULL
user,user,0,297,297,und,0,Emerald Village MHP,NULL
user,user,0,298,298,und,0,Pioneer Mobile Park,NULL
user,user,0,300,300,und,0,Dundee Hills MHC,NULL
user,user,0,301,301,und,0,Jims Mobile Home Park LLC,NULL
user,user,0,305,305,und,0,Marshall Beach ,NULL
user,user,0,307,307,und,0,Camas Court,NULL
user,user,0,308,308,und,0,Carver Mobile Ranch,NULL
user,user,0,310,310,und,0,Elk Creek MHCO,NULL
user,user,0,312,312,und,0,Carefree  Mobile Village,NULL
user,user,0,314,314,und,0,Arneys Forest View MHP,NULL
user,user,0,315,315,und,0,SILENT CREEK,NULL
user,user,0,316,316,und,0,whispering Pines,NULL
user,user,0,319,319,und,0,Country View Mobil  Home Est,NULL
user,user,0,323,323,und,0,Trails End Mobile Home Park,NULL
user,user,0,324,324,und,0,Terrand Mobile Terrace,NULL
user,user,0,326,326,und,0,Mobile Estates,NULL
user,user,0,328,328,und,0,Umpqua Mobile Villa,NULL
user,user,0,329,329,und,0,Frontier Mobile Estates,NULL
user,user,0,333,333,und,0,Silverleaf,NULL
