,,,uid,,,,park,
user,user,0,1651,1651,und,0,Green Acres RV Park,NULL
user,user,0,1665,1665,und,0,Pacific Mobile Home Supply,NULL
user,user,0,1685,1685,und,0,Birdsdale View Acres,NULL
user,user,0,1687,1687,und,0,Cherry Blossom MHP,NULL
user,user,0,1688,1688,und,0,Welcome West MHP,NULL
user,user,0,1696,1696,und,0,Crown Park,NULL
user,user,0,1714,1714,und,0,Fox Run,NULL
user,user,0,1715,1715,und,0,Silent Creek,NULL
user,user,0,1716,1716,und,0,Country Estates MHP,NULL
user,user,0,1719,1719,und,0,Desert Terrace Mobile Estates,NULL
user,user,0,1720,1720,und,0,River Road Mobile Estates,NULL
user,user,0,1721,1721,und,0,River Road Mobile Estates,NULL
user,user,0,1724,1724,und,0,Clairmont Mobile home Park,NULL
user,user,0,1729,1729,und,0,Clairmont,NULL
user,user,0,1730,1730,und,0,River Road Mobile Estates,NULL
user,user,0,1731,1731,und,0,Hillsboro Mobile Home Park ,NULL
user,user,0,1734,1734,und,0,Santiam Village North,NULL
user,user,0,1735,1735,und,0,Santiam Village South,NULL
user,user,0,1748,1748,und,0,Scotts View Mobile Home Park,NULL
user,user,0,1753,1753,und,0,Deer Island Village,NULL
user,user,0,1766,1766,und,0,Driftwood Mobile Homes,NULL
user,user,0,1767,1767,und,0,Western Carriage Estates,NULL
user,user,0,1768,1768,und,0,Wildwood Villa MHP,NULL
user,user,0,1770,1770,und,0,Sublimity Mobile Village,NULL
user,user,0,1775,1775,und,0,Royal Mobile Estates,NULL
user,user,0,1791,1791,und,0,Sublimity Mobile Village,NULL
user,user,0,1796,1796,und,0,mount pleasant,NULL
user,user,0,1798,1798,und,0,Whaleshead Beach Resort,NULL
user,user,0,1802,1802,und,0,Clairmont Mobile Home Park,NULL
user,user,0,1812,1812,und,0,Green Oaks Mobile Ranch,NULL
user,user,0,1816,1816,und,0,Commonwealth Real Estate Services,NULL
user,user,0,1824,1824,und,0,riverside meadows,NULL
user,user,0,1825,1825,und,0,Clairmont ,NULL
user,user,0,1827,1827,und,0,Culver Mobile Home Park,NULL
user,user,0,1842,1842,und,0,BARLOW TRAIL ESTATES,NULL
user,user,0,1852,1852,und,0,Riverside Meadows Mobile Home Park,NULL
user,user,0,1862,1862,und,0,Hidden View Estates,NULL
user,user,0,1864,1864,und,0,Praire Village MHP LLC,NULL
user,user,0,1870,1870,und,0,"Sterling Mobile Home Park 2016 LLC, DBA Newton Creek Manor",NULL
user,user,0,1898,1898,und,0,Southbrook Mobile Home Park,NULL
user,user,0,1905,1905,und,0,Trailer Villa,NULL
user,user,0,1907,1907,und,0,Country Squire Estates,NULL
user,user,0,1909,1909,und,0,El Rancho MH RV Park,NULL
user,user,0,1937,1937,und,0,Wood Village Estates,NULL
user,user,0,1939,1939,und,0,Pacific City Trailer Park,NULL
user,user,0,1940,1940,und,0,Country Haven,NULL
user,user,0,1942,1942,und,0,Tamarack Mobile Home Park,NULL
user,user,0,1946,1946,und,0,Villadom MHP,NULL
user,user,0,1947,1947,und,0,Bend Trailer Park,NULL
user,user,0,1953,1953,und,0,"Ault Acres, LLC",NULL
user,user,0,1959,1959,und,0,Commonwealth Real Estate,NULL
user,user,0,1967,1967,und,0,Little River Mobile Home Park,NULL
user,user,0,1969,1969,und,0,Emerald Estates Mobile Home Park,NULL
user,user,0,1970,1970,und,0,Tonopah Village,NULL
user,user,0,1971,1971,und,0,Alpine Meadows Mobile Estates,NULL
user,user,0,1973,1973,und,0,Carriage Park Estates,NULL
user,user,0,1989,1989,und,0,Surfside Community,NULL
user,user,0,2002,2002,und,0,Commonwealth Real Estate Services,NULL
user,user,0,2008,2008,und,0,River`s Bend Marnia,NULL
user,user,0,2018,2018,und,0,Country Manor,NULL
user,user,0,2021,2021,und,0,Colliers International Valuation,NULL
user,user,0,2022,2022,und,0,"Oregon Solutions, Portland State University",NULL
user,user,0,2026,2026,und,0,Flamingo Mobile Home Park,NULL
user,user,0,2035,2035,und,0,Glen Tualatin Mobile Home Park,NULL
user,user,0,2041,2041,und,0,Lucky Lodge,NULL
user,user,0,2052,2052,und,0,Columbia City Estates,NULL
user,user,0,2053,2053,und,0,Rental Assistance Program,NULL
user,user,0,2055,2055,und,0,Lakeside MH and RV Community,NULL
user,user,0,2063,2063,und,0,Garden Circle MHP,NULL
user,user,0,2075,2075,und,0,Oregon Manufactured Housing Association,NULL
user,user,0,2104,2104,und,0,Cascade Cove,NULL
user,user,0,2119,2119,und,0,Mountain View Estates,NULL
user,user,0,2131,2131,und,0,Valley MHP,NULL
user,user,0,2194,2194,und,0,J and M MHP,NULL
user,user,0,2196,2196,und,0,Tivoli Mobile Home Park,NULL
user,user,0,2198,2198,und,0,Western Hills ,NULL
user,user,0,2199,2199,und,0,Glen Tualatin,NULL
user,user,0,2202,2202,und,0,Harbor Village Mobile Home and RV Park,NULL
user,user,0,2210,2210,und,0,Bullard Law,NULL
user,user,0,2213,2213,und,0,Benham Lane Mobile Home Park,NULL
user,user,0,2214,2214,und,0,Portland American Mobilodge,NULL
user,user,0,2215,2215,und,0,"Subbmeter Solutions, Inc",NULL
user,user,0,2222,2222,und,0,Lucas MHP,NULL
user,user,0,2225,2225,und,0,Tomasi Salyer Martin,NULL
user,user,0,2231,2231,und,0,Smith Farm Estates,NULL
user,user,0,2238,2238,und,0,Riverview Estates Mfd. Home Park,NULL
user,user,0,2240,2240,und,0,Rose Grove MHP,NULL
user,user,0,2265,2265,und,0,Dorena Lake MHP,NULL
user,user,0,2267,2267,und,0,Camellia Mobile Home Park and  Apartments,NULL
user,user,0,2268,2268,und,0,Shorepines Bay Village,NULL
user,user,0,2269,2269,und,0,Countryside Estates ,NULL
user,user,0,2270,2270,und,0,Riverside Mobile Terrace,NULL
user,user,0,2271,2271,und,0,Commonwealth,NULL
user,user,0,2272,2272,und,0,Springhill,NULL
user,user,0,2274,2274,und,0,Walnut City Mobile Estates,NULL
user,user,0,2275,2275,und,0,Mobile Home Corral,NULL
user,user,0,2276,2276,und,0,Harrisburg Mobilehome Park LLC,NULL
user,user,0,2279,2279,und,0,Campus Green,NULL
user,user,0,2280,2280,und,0,Country Mobile Estates LLC,NULL
user,user,0,2281,2281,und,0,Greenspot Mobile Home Park,NULL
user,user,0,2283,2283,und,0,"Tidewater Mobile Home and RV Park, LLC",NULL
user,user,0,2285,2285,und,0,"Northwest Park Brokerage, Inc",NULL
user,user,0,2286,2286,und,0,Shady Brook MHP,NULL
user,user,0,2287,2287,und,0,Patrician Mobile Home Park,NULL
user,user,0,2289,2289,und,0,Longview Hills,NULL
user,user,0,2292,2292,und,0,Mt. Hood Mobile Home Park,NULL
user,user,0,2293,2293,und,0,N/A,NULL
user,user,0,2303,2303,und,0,River Hills Estates,NULL
user,user,0,2304,2304,und,0,Skyline Moorage and Marina,NULL
user,user,0,2309,2309,und,0,Oak Leaf Mobile Home Park,NULL
user,user,0,2310,2310,und,0,Kathleen Manor,NULL
user,user,0,2312,2312,und,0,Chehalem Mobile Park,NULL
user,user,0,2314,2314,und,0,Wyoming Circle,NULL
user,user,0,2317,2317,und,0,Jefferson Acres Mobile Home Park,NULL
user,user,0,2318,2318,und,0,Sundowner Mobile Home Park,NULL
user,user,0,2319,2319,und,0,Jefferson Mobile Acres,NULL
user,user,0,2321,2321,und,0,Deer Island Residential LLC,NULL
user,user,0,2324,2324,und,0,Monroe  RV Park,NULL
user,user,0,2332,2332,und,0,Country Edge estates,NULL
user,user,0,2353,2353,und,0,Rivers Edge Park,NULL
user,user,0,2355,2355,und,0,Creswell Court LLC,NULL
user,user,0,2371,2371,und,0,Creswell Court,NULL
user,user,0,2375,2375,und,0,"Spring Meadow Estates, LLC",NULL
user,user,0,2379,2379,und,0,Creswell Court,NULL
user,user,0,2381,2381,und,0,Summer Oaks Park,NULL
user,user,0,2382,2382,und,0,Viking Mobile Villa,NULL
user,user,0,2383,2383,und,0,Firhaven MHP,NULL
user,user,0,2390,2390,und,0,Mountain View Trailer Park,NULL
user,user,0,2396,2396,und,0,Greenspot Mobile Home Park,NULL
user,user,0,2397,2397,und,0,Willow Creek Mobile Home Park,NULL
user,user,0,2399,2399,und,0,roundup trailer park,NULL
user,user,0,2401,2401,und,0,Firhaven MHP,NULL
user,user,0,2403,2403,und,0,SunnyviewMHP,NULL
user,user,0,2404,2404,und,0,Brownsville Mobile Home Park,NULL
user,user,0,2407,2407,und,0,Neilson Mobile City,NULL
user,user,0,2410,2410,und,0,Garden Meadows,NULL
user,user,0,2414,2414,und,0,ORCA,NULL
user,user,0,2415,2415,und,0,ORCA,NULL
user,user,0,2420,2420,und,0,Boiler Bay RV Park,NULL
user,user,0,2421,2421,und,0,Sandy Mobile Villa,NULL
user,user,0,2426,2426,und,0,Knoll Terrace ,NULL
user,user,0,2428,2428,und,0,River View Manufactured Home Park,NULL
user,user,0,2435,2435,und,0,Allen`s Mobile Villa,NULL
user,user,0,2438,2438,und,0,Sea & Sand RV Park,NULL
user,user,0,2439,2439,und,0,Deschutes Mobile Park,NULL
user,user,0,2440,2440,und,0,Evergreen Estates,NULL
user,user,0,2441,2441,und,0,Meadowlark Mobile Manor,NULL
user,user,0,2447,2447,und,0,Cornelius Manor,NULL
user,user,0,2448,2448,und,0,Cornelius Manor,NULL
user,user,0,2458,2458,und,0,Hayden Island MHC,NULL
user,user,0,2463,2463,und,0,Saginaw Mobile Home Park,NULL
user,user,0,2464,2464,und,0,Parr Acres,NULL
user,user,0,2465,2465,und,0,Complete Mobile Home Sales LLC,NULL
user,user,0,2467,2467,und,0,"Heritage Park, LLC",NULL
user,user,0,2468,2468,und,0,Pleasant Hill Mobile Estates,NULL
user,user,0,2471,2471,und,0,Ashland Acres Mobile Estates,NULL
user,user,0,2476,2476,und,0,Mount Shadow MH Park,NULL
user,user,0,2480,2480,und,0,Lakeside Mobile Home & RV Community,NULL
user,user,0,2481,2481,und,0,Chaparral Mobile Ranch,NULL
user,user,0,2484,2484,und,0,Valley Estates LLC,NULL
user,user,0,2485,2485,und,0,Eugene Mobile Village,NULL
user,user,0,2486,2486,und,0,Twin Totem MHP,NULL
user,user,0,2498,2498,und,0,Summer Oaks Park,NULL
user,user,0,2513,2513,und,0,Clark Park,NULL
user,user,0,2526,2526,und,0,Emerald Coast Estates,NULL
user,user,0,2527,2527,und,0,Kennedy Meadows MHP,NULL
user,user,0,2528,2528,und,0,Country Villa Court LLC,NULL
user,user,0,2537,2537,und,0,Rosehaven,NULL
user,user,0,2543,2543,und,0,Parr Acres,NULL
user,user,0,2547,2547,und,0,Commonwealth Real Estate Services,NULL
user,user,0,2549,2549,und,0,"Querin Law, LLC",NULL
user,user,0,2550,2550,und,0,Industry Category - Legal (Hart King) ,NULL
user,user,0,2551,2551,und,0,Marcus & Millichap,NULL
user,user,0,2552,2552,und,0,Hope Valley Resort,NULL
user,user,0,2554,2554,und,0,Longview Hills,NULL
user,user,0,2557,2557,und,0,Bend Trailer Park,NULL
user,user,0,2562,2562,und,0,San George Estates,NULL
user,user,0,2563,2563,und,0,Shamrock Village RV Park,NULL
user,user,0,2592,2592,und,0,Marissa Estates,NULL
user,user,0,2593,2593,und,0,Cedarwood Estates,NULL
user,user,0,2595,2595,und,0,Bend Trailer Park,NULL
user,user,0,2598,2598,und,0,Hwy 58 Mobile Home Park,NULL
user,user,0,2600,2600,und,0,Emerald Valley RV Park,NULL
user,user,0,2611,2611,und,0,Aloha Sun,NULL
user,user,0,2612,2612,und,0,Glen Tualatin,NULL
user,user,0,2617,2617,und,0,Bend Trailer Park,NULL
user,user,0,2621,2621,und,0,Sandy Mobile Villa,NULL
user,user,0,2624,2624,und,0,21st Mortgage Company,NULL
user,user,0,2633,2633,und,0,Harwood Mobile Manor,NULL
user,user,0,2642,2642,und,0,Pillars Mobile RV Park,NULL
user,user,0,2661,2661,und,0,"Rainbow Villa MHP, LLC",NULL
user,user,0,2680,2680,und,0,"Guardian Water & Power, Inc",NULL
user,user,0,2682,2682,und,0,Taft Mobile Home Villa,NULL
user,user,0,2683,2683,und,0,Oregon Law Center,NULL
user,user,0,2693,2693,und,0,Cascade Gorge Park,NULL
user,user,0,2701,2701,und,0,HECETA VILLAGE,NULL
user,user,0,2705,2705,und,0,Roosevelt Acres,NULL
user,user,0,2714,2714,und,0,Buck Lake Mobile Home Park,NULL
user,user,0,2757,2757,und,0,"Holly Court MHC, LLC",NULL
user,user,0,2758,2758,und,0,Juniper Hilltop Mobile Home Park,NULL
user,user,0,2777,2777,und,0,Knoll Terrace,NULL
user,user,0,2781,2781,und,0,Mt Nebo Mobile Home and RV Park,NULL
user,user,0,2782,2782,und,0,Mt. Nebo MHP ,NULL
user,user,0,2795,2795,und,0,Eagle Crest Estates,NULL
user,user,0,2798,2798,und,0,Eagle Crest Estates,NULL
user,user,0,2804,2804,und,0,Eagle Crest Estates,NULL
user,user,0,2807,2807,und,0,Seneca Capital Partners ,NULL
user,user,0,2808,2808,und,0,"Prineville RV Park, LLC",NULL
user,user,0,2812,2812,und,0,Commonwealth Real Estates,NULL
user,user,0,2816,2816,und,0,Trails West RV Park,NULL
user,user,0,2820,2820,und,0,Lone Mountain RV Resort and Campground,NULL
user,user,0,2828,2828,und,0,Cheshire Gardens,NULL
user,user,0,2831,2831,und,0,Mobile Towne West,NULL
user,user,0,2833,2833,und,0,Royal park,NULL
user,user,0,2909,2909,und,0,Portside Brookings,NULL
user,user,0,2910,2910,und,0,Crooked River Ranch,NULL
user,user,0,2911,2911,und,0,"Hazen, Hess and Ott, PLLC",NULL
user,user,0,2914,2914,und,0,Tamarack Ridge Estates,NULL
user,user,0,2916,2916,und,0,Hollywood Estates MHP,NULL
user,user,0,2917,2917,und,0,"Jet Utilities, LLC",NULL
user,user,0,2918,2918,und,0,bend trailer park,NULL
user,user,0,2920,2920,und,0,Diamond Hill RV Park ,NULL
user,user,0,2921,2921,und,0,River Hills Estates,NULL
user,user,0,2922,2922,und,0,Suburban Mobile Estates,NULL
user,user,0,2926,2926,und,0,Deschutes Mobil Home Park,NULL
user,user,0,2927,2927,und,0,Allen`s Mobile Villa,NULL
user,user,0,2928,2928,und,0,Kelley`s RV Park,NULL
user,user,0,2931,2931,und,0,Willow Estates,NULL
user,user,0,2932,2932,und,0,Eagle Creek Mobile Estates,NULL
user,user,0,2933,2933,und,0,Jackson County,NULL
user,user,0,2935,2935,und,0,Kelley`s RV Park,NULL
user,user,0,2936,2936,und,0,Hidden Meadows,NULL
user,user,0,2937,2937,und,0,Country Oak Estates,NULL
user,user,0,2939,2939,und,0,Boulder Ridge Trailer Court,NULL
user,user,0,2940,2940,und,0,Shadow Ranch Mobile Park Inc,NULL
user,user,0,2941,2941,und,0,West-Side Pines Cooperative,NULL
user,user,0,2942,2942,und,0,Mt Nebo MHP and RV Park,NULL
user,user,0,2947,2947,und,0,Zeida`s MHC,NULL
user,user,0,2948,2948,und,0,Littlebrook MHP,NULL
user,user,0,2950,2950,und,0,Shady Brook MHP,NULL
user,user,0,2954,2954,und,0,Roseland Mobile Home Park,NULL
user,user,0,2955,2955,und,0,Country Oak Estates ,NULL
user,user,0,2956,2956,und,0,Knoll Terrace,NULL
user,user,0,2957,2957,und,0,Harmony Acres,NULL
user,user,0,2958,2958,und,0,Gabriel Park,NULL
user,user,0,2959,2959,und,0,Twin Oaks Mobile Park,NULL
user,user,0,2963,2963,und,0,Dunes Ranch,NULL
user,user,0,2967,2967,und,0,NA,NULL
user,user,0,2968,2968,und,0,Falcon Wood Village,NULL
user,user,0,2969,2969,und,0,Drift Creek Landing LLC,NULL
user,user,0,2971,2971,und,0,Drift Creek Landing,NULL
user,user,0,2975,2975,und,0,tiny tranquility,NULL
user,user,0,2976,2976,und,0,John Travess Subdivision,NULL
user,user,0,2980,2980,und,0,Shorewood Estates,NULL
user,user,0,2981,2981,und,0,Oakvilla MHP,NULL
user,user,0,2982,2982,und,0,Ridgeview Village,NULL
user,user,0,2983,2983,und,0,Royal Mobile Estates,NULL
user,user,0,2985,2985,und,0,Turtle Rock RV Resort,NULL
user,user,0,2986,2986,und,0,Center View Estates,NULL
user,user,0,2987,2987,und,0,Mt Nebo Mobile Home and RV Park,NULL
user,user,0,3003,3003,und,0,Tonisgah,NULL
user,user,0,3005,3005,und,0,Terra Buena Terrace Mobile Home Park,NULL
user,user,0,3010,3010,und,0,Highland View Mobile Home Park,NULL
user,user,0,3013,3013,und,0,South Side MHP,NULL
user,user,0,3018,3018,und,0,Hoodcourse Acres,NULL
user,user,0,3019,3019,und,0,South Mobile Village,NULL
user,user,0,3020,3020,und,0,Bristol Park,NULL
user,user,0,3021,3021,und,0,Columbus Greens,NULL
user,user,0,3022,3022,und,0,Sandy Frontier Trailer Court,NULL
user,user,0,3023,3023,und,0,VILLAGE MOBILE INN,NULL
user,user,0,3028,3028,und,0,"Rainbow Villa MHP, LLC",NULL
user,user,0,3029,3029,und,0,Brownsville Mobile Home Park,NULL
user,user,0,3035,3035,und,0,wandering spirit,NULL
user,user,0,3041,3041,und,0,Emerald Coast Estates,NULL
user,user,0,3043,3043,und,0,Shady Acres MHP,NULL
user,user,0,3044,3044,und,0,Valley View,NULL
user,user,0,3047,3047,und,0,Smith Farm Estates,NULL
user,user,0,3049,3049,und,0,Ashland Talent RV Park,NULL
user,user,0,3050,3050,und,0,Rocky Pointe Marina,NULL
user,user,0,3053,3053,und,0,Midway Village LLC,NULL
user,user,0,3054,3054,und,0,Hi Way Haven RV Park,NULL
user,user,0,3064,3064,und,0,Fern Hills,NULL
user,user,0,3065,3065,und,0,Tolman Gardens,NULL
user,user,0,3066,3066,und,0,Mulkeys,NULL
user,user,0,3070,3070,und,0,Seavers MHP,NULL
user,user,0,3071,3071,und,0,Lakeside Mobile Home and RV Park,NULL
user,user,0,3072,3072,und,0,Three Lakes Estates MHC.LLC.,NULL
user,user,0,3087,3087,und,0,Santiago Estates,NULL
user,user,0,3094,3094,und,0,Crestview,NULL
user,user,0,3095,3095,und,0,Bristol Park,NULL
user,user,0,3096,3096,und,0,Wager Creek Estates,NULL
user,user,0,3098,3098,und,0,Nestled in Hills,NULL
user,user,0,3100,3100,und,0,Cherry Hill MHC,NULL
user,user,0,3107,3107,und,0,Frontier Urban Village,NULL
user,user,0,3109,3109,und,0,Country Garden Estates,NULL
user,user,0,3144,3144,und,0,Cherry Hill Mobile Home Park,NULL
user,user,0,3148,3148,und,0,NOAH,NULL
user,user,0,3149,3149,und,0,"Cherry Lane, LLC",NULL
user,user,0,3150,3150,und,0,Talent Mobile Estates,NULL
user,user,0,3151,3151,und,0,Deer Creek Hollow,NULL
user,user,0,3153,3153,und,0,Hall's Trailer Court,NULL
user,user,0,3156,3156,und,0,"RedTail RV Park, LLC",NULL
user,user,0,3158,3158,und,0,McKee Bridge MHP,NULL
user,user,0,3174,3174,und,0,Green Meadow Park,NULL
user,user,0,3177,3177,und,0,Dawn-Rey Mobile Home Park,NULL
user,user,0,3180,3180,und,0,Tierra Linda LLC,NULL
user,user,0,3184,3184,und,0,Westview,NULL
user,user,0,3188,3188,und,0,City Mobile Home Park,NULL
user,user,0,3189,3189,und,0,Creekside of Hillsboro,NULL
user,user,0,3196,3196,und,0,Tierra Linda LLC,NULL
user,user,0,3197,3197,und,0,Shalimar Estates,NULL
user,user,0,3198,3198,und,0,River Bend RV Park,NULL
user,user,0,3202,3202,und,0,Country Garden Estates,NULL
user,user,0,3212,3212,und,0,Foster Lake Mobile Home & RV Community,NULL
user,user,0,3214,3214,und,0,The Secret Trailer Park,NULL
user,user,0,3217,3217,und,0,Villa West Mobile Home Estate Inc,NULL
user,user,0,3222,3222,und,0,Hogg Heaven,NULL
user,user,0,3240,3240,und,0,Bambi Mobile Home park ,NULL
user,user,0,3242,3242,und,0,Rainbow MHP,NULL
user,user,0,3249,3249,und,0,Fisherman's RV Park,NULL
user,user,0,3252,3252,und,0,None,NULL
user,user,0,3253,3253,und,0,SCOFIELD MOBILHOME PARK,NULL
user,user,0,3254,3254,und,0,Sunrise Estates,NULL
user,user,0,3260,3260,und,0,Rufus RV Park,NULL
user,user,0,3262,3262,und,0,Meadowcrest Farm Estates,NULL
user,user,0,3263,3263,und,0,San George Estates,NULL
user,user,0,3264,3264,und,0,Wunder Mobile Park,NULL
user,user,0,3268,3268,und,0,Brookside,NULL
user,user,0,3270,3270,und,0,Viking Mobile Villa,NULL
user,user,0,3275,3275,und,0,San George Estates,NULL
user,user,0,3276,3276,und,0,Meadowcrest Farm Estates,NULL
user,user,0,3284,3284,und,0,Riverbank Mobile Home Park LLC,NULL
user,user,0,3293,3293,und,0,Monolith Properties,NULL
user,user,0,3296,3296,und,0,Country Edge Estates,NULL
user,user,0,3309,3309,und,0,Lost Treasures,NULL
user,user,0,3310,3310,und,0,Nestled in Hills,NULL
user,user,0,3311,3311,und,0,Shamrock Village,NULL
user,user,0,3312,3312,und,0,The Dalles Mobile Home Park,NULL
user,user,0,3313,3313,und,0,Tillamook Coast RV Park,NULL
user,user,0,3316,3316,und,0,Wandering Spirit LLC,NULL
user,user,0,3317,3317,und,0,Shady Lane Mobile Home Park,NULL
user,user,0,3320,3320,und,0,Oregon Park Managers Association,NULL
user,user,0,3321,3321,und,0,Shady Trails RV Park,NULL
user,user,0,3325,3325,und,0,Woodburn Senior Estates MHC,NULL
user,user,0,3326,3326,und,0,Riverstone MHP,NULL
user,user,0,3327,3327,und,0,Warren Allen LLP,NULL
user,user,0,3330,3330,und,0,Colonial Oaks Mobile Home Park,NULL
user,user,0,3333,3333,und,0,LUCAS MOBILE HOME PARK,NULL
user,user,0,3343,3343,und,0,Shorewood Estates,NULL
user,user,0,3344,3344,und,0,Creekside of Hillsboro,NULL
user,user,0,3345,3345,und,0,Lana Lane Mobile Park,NULL
user,user,0,3347,3347,und,0,Sea & Sand RV Park,NULL
user,user,0,3358,3358,und,0,Ocean Breeze Mobile Home Court,NULL
user,user,0,3360,3360,und,0,Commonwealth Real Estate Services,NULL
user,user,0,3362,3362,und,0,rose city,NULL
user,user,0,3365,3365,und,0,Junction Mobile Home Park,NULL
user,user,0,3372,3372,und,0,ORCA Mobile Court,NULL
user,user,0,3373,3373,und,0,Newton Creek Manor,NULL
user,user,0,3378,3378,und,0,Sun Rocks Rv,NULL
user,user,0,3379,3379,und,0,Nestucca River Village,NULL
user,user,0,3380,3380,und,0,Columbia Vista ,NULL
user,user,0,3382,3382,und,0,M&J Mobile Home Parmrk ,NULL
user,user,0,3383,3383,und,0,Parkway Estates,NULL
user,user,0,3385,3385,und,0,Cherry Grove Trailer Park,NULL
user,user,0,3391,3391,und,0,Sunny Hill Mobile Home Park,NULL
user,user,0,3393,3393,und,0,dryden llc,NULL
user,user,0,3394,3394,und,0,horizon estates,NULL
user,user,0,3397,3397,und,0,Knoll Terrace,NULL
user,user,0,3399,3399,und,0,Oregon Manufactured Housing Association,NULL
user,user,0,3400,3400,und,0,Walnut Mobile Home Park,NULL
user,user,0,3403,3403,und,0,RIVERVIEW TRAILER PARK,NULL
user,user,0,3404,3404,und,0,woodland park estates,NULL
user,user,0,3405,3405,und,0,Mckenzie Meadows,NULL
user,user,0,3410,3410,und,0,Sunset Lake Mobile Home & RV Park ,NULL
user,user,0,3411,3411,und,0,Bay Air Mobile Home Park,NULL
user,user,0,3412,3412,und,0,Sterling Properties Real Estate Services,NULL
user,user,0,3413,3413,und,0,Cherry Blossom ,NULL
user,user,0,3414,3414,und,0,Queens Garden MHP,NULL
user,user,0,3415,3415,und,0,Cosmonaut,NULL
user,user,0,3418,3418,und,0,Cosmonaut,NULL
user,user,0,3420,3420,und,0,Terra Buena Terrache ,NULL
user,user,0,3427,3427,und,0,Springfield Mobile Home Park,NULL
user,user,0,3432,3432,und,0,Rowena Crest Manor,NULL
user,user,0,3435,3435,und,0,Oaks Mobile Home Park ,NULL
user,user,0,3439,3439,und,0,Moore`s Mobile Manor,NULL
user,user,0,3440,3440,und,0, Country Estates,NULL
user,user,0,3441,3441,und,0,Laurel Ridge Mobile Home Park,NULL
user,user,0,3442,3442,und,0,Lafayette RV Park,NULL
user,user,0,3445,3445,und,0,Riverside Meadows,NULL
user,user,0,3451,3451,und,0,Lafayette RV Park,NULL
user,user,0,3454,3454,und,0,Mercer Lake Resort,NULL
user,user,0,3455,3455,und,0,Rogue Valley Overniters,NULL
user,user,0,3456,3456,und,0,Prince Juniper,NULL
user,user,0,3457,3457,und,0,River Meadows MHP,NULL
user,user,0,3462,3462,und,0,Madrona RV Park,NULL
user,user,0,3466,3466,und,0,Lost Treasures,NULL
user,user,0,3467,3467,und,0,Surfwood Villas,NULL
user,user,0,3468,3468,und,0,Chemeketa MV,NULL
user,user,0,3469,3469,und,0,Rainbow Rock Village MHP,NULL
user,user,0,3470,3470,und,0,Venture Square Mobile Home Park,NULL
user,user,0,3471,3471,und,0,Wells Fargo Multifamily Capital,NULL
user,user,0,3473,3473,und,0,Crum Trailer Park,NULL
user,user,0,3474,3474,und,0,Sandy Mobile Villa,NULL
user,user,0,3475,3475,und,0,EZ Living ,NULL
user,user,0,3480,3480,und,0,Harbor View Park LLC,NULL
user,user,0,3481,3481,und,0,Wagon Wheel Mobile Home Park,NULL
user,user,0,3482,3482,und,0,Rosewood Park Place,NULL
user,user,0,3487,3487,und,0,Round Up Trailer Park,NULL
user,user,0,3489,3489,und,0,Suncrest Mobile Estates,NULL
user,user,0,3491,3491,und,0,Sunset Village Mobile Home Park,NULL
user,user,0,3492,3492,und,0,Sunset Village Mobile Home Park,NULL
user,user,0,3493,3493,und,0,Woodburn Senior Estates MHC,NULL
user,user,0,3494,3494,und,0,Snowberry Village,NULL
user,user,0,3497,3497,und,0,Foley Court,NULL
user,user,0,3499,3499,und,0,Green Acres Mobile Home Park,NULL
user,user,0,3500,3500,und,0,Miller Estates,NULL
user,user,0,3502,3502,und,0,country living,NULL
user,user,0,3509,3509,und,0,Shady trails rv park,NULL
user,user,0,3510,3510,und,0,Sunscape rv,NULL
user,user,0,3512,3512,und,0,Heron Pointe,NULL
user,user,0,3516,3516,und,0,Birch Tree MHV,NULL
user,user,0,3521,3521,und,0,Neawanna,NULL
user,user,0,3523,3523,und,0,Green Tree MHP,NULL
user,user,0,3525,3525,und,0,Rendezvous RV Park,NULL
user,user,0,3526,3526,und,0,Green acres  mhp 53752 appleton rd,NULL
user,user,0,3527,3527,und,0,Chetco River Resort,NULL
user,user,0,3532,3532,und,0,Brite Forest Estates,NULL
user,user,0,3534,3534,und,0,Diamond H Trailer Park,NULL
user,user,0,3537,3537,und,0,green spot mobile park,NULL
user,user,0,3538,3538,und,0,Mountain Shadow Rv,NULL
user,user,0,3539,3539,und,0,Shamrock Village,NULL
user,user,0,3540,3540,und,0,Rendezvous RV Resort,NULL
user,user,0,3541,3541,und,0,Aaspen,NULL
user,user,0,3544,3544,und,0,Nickel Mountain Trailer Park,NULL
user,user,0,3545,3545,und,0,Mountainview Mobile RV Park,NULL
user,user,0,3547,3547,und,0,"Mt View RV, Inc.",NULL
user,user,0,3548,3548,und,0,Sheridan Park,NULL
user,user,0,3553,3553,und,0,Rogue Pacific Mobile Home Park/RV ,NULL
user,user,0,3555,3555,und,0,Crest Street Manor,NULL
user,user,0,3558,3558,und,0,Village Estates,NULL
user,user,0,3560,3560,und,0,Twin Cedars Mobile Home Park,NULL
user,user,0,3561,3561,und,0,Altamon Mobile Home Park,NULL
user,user,0,3562,3562,und,0,CWRES,NULL
user,user,0,3565,3565,und,0,Cherry Grove,NULL
user,user,0,3567,3567,und,0,Nickel Mountain Trailer Park,NULL
user,user,0,3568,3568,und,0,Oaks Mobile Home Park,NULL
user,user,0,3571,3571,und,0,Wooten Manor MHP,NULL
user,user,0,3572,3572,und,0,Cameron Mobile Home Park ,NULL
