,guid,name,,
3,853,Alaska,,0
3,854,Arizona,,0
3,161,California,,0
3,1091,Colorado,,0
3,1092,Hawaii,,0
3,160,Idaho,,0
3,1089,Montana,,0
3,852,Nevada,,0
3,1090,New Mexico,,0
3,159,Oregon,,0
3,855,Utah,,0
3,303,Vermont,,0
3,162,Washington,,0
